,trip_id,arrival_time,departure_time,line_index,shape_dist_traveled,time_diff,speed,dist_diff,code,direction_id,day_date,stop_code_d,stop_code_a,departure_delay,arrival_delay,temperature_line,app_temp_line,rain_line,snow_fall_line,snow_depth_line,humidity_line,precipitation_line,wmo_code_line,wind_speed_10m_line,wind_speed_100m_line,wind_dir_10m_line,wind_dir_100m_line,wind_gusts_line,soil_temperature_line,isArrivalDelay,isDepartureDelay
72,44,194300,193900,4,23.53195,0.07,39.0,2.62,18602,0,20210805,6501,6500,9,8,21.0,22.9,0.0,0.0,0.0,75.0,0.0,0.0,7.0,17.0,248.0,253.0,24.0,25.0,1.0,1.0
73,47,132400,132000,1,2.62308,0.07,39.0,2.62,18575,0,20210805,6500,6501,3,2,26.0,25.45,0.0,0.0,0.0,55.0,0.0,2.0,21.0,29.0,240.0,241.0,49.0,27.0,1.0,1.0
74,47,133000,132500,2,8.69727,0.08,73.0,6.07,18575,0,20210805,6501,6400,3,2,26.0,25.85,0.0,0.0,0.0,58.0,0.0,2.0,20.0,28.0,240.0,240.0,50.0,27.0,1.0,1.0
75,47,133700,133100,3,15.51342,0.1,68.0,6.82,18575,0,20210805,6400,6402,3,3,25.0,26.1,0.0,0.0,0.0,64.0,0.0,2.0,18.0,24.0,238.0,238.0,44.0,27.0,1.0,1.0
76,47,134700,133800,4,23.53195,0.15,53.0,8.02,18575,0,20210805,6402,6404,3,2,24.0,25.95,0.0,0.0,0.0,69.0,0.0,2.0,17.0,22.0,237.0,237.0,38.0,26.0,1.0,1.0
77,49,104700,104200,1,8.01853,0.08,96.0,8.02,18566,0,20210805,6404,6402,1,2,23.0,24.2,0.1,0.0,0.0,77.0,0.1,51.0,17.0,23.0,246.0,246.0,39.0,23.0,1.0,1.0
78,49,105100,104800,2,11.70784,0.05,74.0,3.69,18566,0,20210805,6402,6401,2,2,24.0,24.25,0.8500000000000001,0.0,0.0,73.0,0.8500000000000001,56.0,18.0,25.0,244.0,244.0,45.0,24.0,1.0,1.0
79,49,105600,105200,3,14.83468,0.07,47.0,3.13,18566,0,20210805,6401,6400,3,2,24.0,24.35,1.6,0.0,0.0,69.0,1.6,61.0,19.0,28.0,243.0,242.0,51.0,24.0,1.0,1.0
80,49,110200,105700,4,20.90887,0.08,73.0,6.07,18566,0,20210805,6400,6501,4,3,24.0,24.25,0.8500000000000001,0.0,0.0,66.0,0.8500000000000001,56.0,21.0,31.0,242.0,241.0,51.0,24.0,1.0,1.0
81,49,111100,110300,5,23.53195,0.13,20.0,2.62,18566,0,20210805,6501,6500,5,1,24.0,24.1,0.1,0.0,0.0,64.0,0.1,51.0,23.0,34.0,240.0,240.0,51.0,25.0,1.0,1.0
82,76,184800,184200,1,8.01853,0.1,80.0,8.02,18600,0,20210805,6404,6402,12,11,22.0,23.15,0.0,0.0,0.0,76.0,0.0,1.0,13.0,21.0,246.0,247.0,36.0,24.0,1.0,1.0
83,76,185700,184900,2,14.83468,0.13,51.0,6.82,18600,0,20210805,6402,6400,11,9,22.0,23.25,0.0,0.0,0.0,74.0,0.0,0.0,12.0,21.0,248.0,250.0,41.0,25.0,1.0,1.0
84,76,190800,185800,3,20.90887,0.17,36.0,6.07,18600,0,20210805,6400,6501,10,4,23.0,23.35,0.0,0.0,0.0,70.0,0.0,0.0,12.0,20.0,252.0,254.0,43.0,25.0,1.0,1.0
