,trip_id,line_index,stop_code_d,stop_code_a,departure_delay,arrival_delay,isArrivalDelay,isDepartureDelay,classification_prevision_on_row,regression_prevision_on_row,classification_prevision_on_train,regression_prevision_on_train
44,12,4,6310,6309,9,9,True,True,True,9.02,0,0
45,12,5,6309,6308,9,7,True,True,True,7.51,0,0
46,12,6,6308,6306,7,7,True,True,True,6.97,0,0
47,12,7,6306,6304,7,8,True,True,True,7.02,0,0
48,12,8,6304,6303,9,9,True,True,True,8.96,0,0
49,12,9,6303,6302,9,9,True,True,True,9.03,0,0
50,12,10,6302,6300,9,7,True,True,True,6.9,0,0
51,12,11,6300,6322,8,8,True,True,True,8.0,0,0
52,12,12,6322,6323,8,8,True,True,True,8.0,0,0
53,12,13,6323,6324,8,8,True,True,True,8.05,0,0
54,12,14,6324,6325,8,5,True,True,True,6.9,0,0
55,12,15,6325,6227,6,5,True,True,True,5.91,0,0
56,12,16,6227,6226,6,6,True,True,True,6.0,0,0
57,12,17,6226,6225,6,6,True,True,True,6.11,0,0
58,12,18,6225,6224,6,2,True,True,True,3.86,0,0
59,12,19,6224,6222,3,2,True,True,True,2.56,0,0
60,13,2,6222,6223,3,3,True,True,True,3.0,0,0
61,13,3,6223,6224,3,0,False,True,False,0.0,0,0
62,13,4,6224,6225,1,1,True,True,True,1.0,0,0
63,13,5,6225,6226,1,1,True,True,True,1.0,0,0
64,13,6,6226,6227,1,0,False,True,False,0.0,0,0
65,13,7,6227,6325,1,0,False,True,False,0.0,0,0
66,13,8,6325,6324,1,1,True,True,True,1.0,0,0
67,13,9,6324,6323,1,1,True,True,True,1.0,0,0
68,13,10,6323,6322,1,1,True,True,True,1.0,0,0
69,13,11,6322,6300,1,1,True,True,False,0.0,0,0
70,13,12,6300,6302,2,2,True,True,True,2.26,0,0
71,13,13,6302,6303,2,2,True,True,True,2.1,0,0
72,13,14,6303,6304,2,0,False,True,False,0.0,0,0
73,13,15,6304,6306,8,8,True,True,True,8.1,0,0
74,13,16,6306,6308,8,6,True,True,True,7.2,0,0
75,13,17,6308,6309,6,6,True,True,True,5.99,0,0
76,13,18,6309,6310,6,4,True,True,True,4.49,0,0
77,13,19,6310,6312,4,4,True,True,True,4.06,0,0
78,13,20,6312,6313,4,4,True,True,True,3.93,0,0
79,13,21,6313,6404,7,4,True,True,True,4.68,0,0
80,14,1,6500,6501,1,2,True,True,True,1.95,0,0
81,14,2,6501,6400,2,2,True,True,True,2.01,0,0
82,14,3,6400,6402,3,2,True,True,True,3.41,0,0
83,14,4,6402,6404,2,1,True,True,True,2.99,0,0
84,15,1,6404,6402,1,1,True,True,True,1.76,0,0
85,15,2,6402,6400,1,0,False,True,False,0.0,0,0
86,15,3,6400,6501,8,4,True,True,True,4.49,0,0
87,15,4,6501,6500,3,2,True,True,True,1.51,0,0
88,16,1,6500,6501,2,3,True,True,True,2.45,0,0
89,16,2,6501,6400,4,3,True,True,True,4.24,0,0
90,16,3,6400,6402,5,3,True,True,True,5.02,0,0
91,16,4,6402,6404,3,2,True,True,True,2.69,0,0
92,17,3,6400,6402,1,0,False,True,False,0.0,0,0
93,17,4,6402,6404,0,0,False,False,False,0.0,0,0
94,18,4,6501,6500,3,0,False,True,False,0.0,0,0
95,19,1,6500,6501,1,1,True,True,False,0.0,0,0
96,19,2,6501,6400,1,1,True,True,False,0.0,0,0
97,19,3,6400,6401,3,0,False,True,False,0.0,0,0
98,19,4,6401,6402,1,1,True,True,True,1.01,0,0
99,20,1,6404,6401,2,3,True,True,True,2.07,0,0
100,20,2,6401,6400,4,1,True,True,True,1.75,0,0
101,20,3,6400,6501,3,2,True,True,True,3.21,0,0
102,20,4,6501,6500,2,0,False,True,False,0.0,0,0
103,21,2,6222,6223,3,3,True,True,True,3.0,0,0
104,21,3,6223,6224,3,1,True,True,True,2.3,0,0
105,21,4,6224,6225,2,2,True,True,True,2.01,0,0
106,21,5,6225,6226,2,2,True,True,True,2.0,0,0
107,21,6,6226,6227,2,0,False,True,False,0.0,0,0
108,21,7,6227,6325,2,0,False,True,False,0.0,0,0
109,21,8,6325,6324,1,1,True,True,True,1.0,0,0
110,21,9,6324,6323,1,1,True,True,True,1.0,0,0
111,21,10,6323,6322,1,1,True,True,True,1.0,0,0
112,21,11,6322,6300,1,0,False,True,False,0.0,0,0
113,21,12,6300,6303,2,2,True,True,True,2.03,0,0
114,21,13,6303,6304,2,1,True,True,False,0.0,0,0
115,21,14,6304,6306,2,2,True,True,True,2.0,0,0
116,21,15,6306,6308,2,1,True,True,True,1.35,0,0
117,21,16,6308,6309,2,2,True,True,True,2.0,0,0
118,21,17,6309,6310,2,0,False,True,False,0.0,0,0
119,21,18,6310,6312,0,0,False,False,False,0.0,0,0
120,21,19,6312,6313,0,0,False,False,False,0.0,0,0
121,21,20,6313,6404,0,0,False,False,False,0.0,0,0
122,22,1,6404,6402,1,1,True,True,True,1.94,0,0
123,22,2,6402,6400,1,0,False,True,False,0.0,0,0
124,22,3,6400,6501,7,1,True,True,True,1.85,0,0
125,22,4,6501,6500,1,0,False,True,True,1.14,0,0
126,77,1,6404,6402,2,2,True,True,True,2.28,0,0
127,77,2,6402,6400,2,2,True,True,False,0.0,0,0
128,77,3,6400,6501,3,2,True,True,True,2.89,0,0
129,77,4,6501,6500,1,0,False,True,False,0.0,0,0
130,82,1,6500,6501,0,0,False,False,False,0.0,0,0
131,82,2,6501,6400,2,3,True,True,True,1.79,0,0
132,82,3,6400,6402,4,1,True,True,True,2.01,0,0
133,82,4,6402,6404,1,1,True,True,True,2.4,0,0
134,120,1,6500,6501,3,3,True,True,True,3.15,0,0
135,120,2,6501,6400,2,2,True,True,True,2.06,0,0
136,120,3,6400,6402,3,2,True,True,True,1.82,0,0
137,120,4,6402,6404,2,0,False,True,True,1.75,0,0
138,121,1,6500,6501,1,2,True,True,True,1.66,0,0
139,121,2,6501,6400,2,1,True,True,True,2.1,0,0
140,121,3,6400,6402,3,2,True,True,True,2.72,0,0
141,121,4,6402,6404,2,2,True,True,True,1.87,0,0
142,122,2,6222,6224,3,0,False,True,True,2.1,0,0
143,122,3,6224,6225,2,2,True,True,True,2.0,0,0
144,122,4,6225,6226,2,2,True,True,True,2.0,0,0
145,122,5,6226,6227,2,0,False,True,False,0.0,0,0
146,122,6,6227,6325,1,1,True,True,True,1.73,0,0
147,123,1,6500,6501,0,2,True,False,False,0.0,0,0
148,123,2,6501,6400,1,1,True,True,True,1.53,0,0
149,123,3,6400,6402,3,2,True,True,True,1.95,0,0
150,123,4,6402,6404,2,0,False,True,True,1.7,0,0
151,125,1,6404,6402,2,2,True,True,True,1.64,0,0
152,125,2,6402,6400,2,1,True,True,False,0.0,0,0
153,125,3,6400,6501,5,0,False,True,False,0.0,0,0
154,125,4,6501,6500,0,1,True,False,False,0.0,0,0
